,Toyota,VW,Daimler,Ford,Honda,BMW,GM,Stellantis,Hyundai,Nissan
Toyota,1.0,0.35080058190928354,0.6643741001001194,0.3679121803583495,-0.3471212998205685,0.6451916936118955,0.822126358491802,0.8057548375575984,0.34377216776307945,-0.41796739267217115
VW,0.35080058190928354,1.0,0.5762764347468777,0.5768288187509819,0.5097925922446606,0.717663029575345,0.4263960405473507,0.3039561158291977,0.5777418894765622,-0.05762044644290162
Daimler,0.6643741001001194,0.5762764347468777,1.0,0.7764757686941303,0.1133372127110578,0.9188578772055784,0.7399809380814469,0.5843706220865449,0.6736571157036846,0.09228460298639057
Ford,0.3679121803583495,0.5768288187509819,0.7764757686941303,1.0,0.4429824389641097,0.7241501216010033,0.46376149924887994,0.15575178757021518,0.745245313975142,0.34944273203545345
Honda,-0.3471212998205685,0.5097925922446606,0.1133372127110578,0.4429824389641097,1.0,0.18958470950608067,-0.20929077651098832,-0.3109617268413036,0.24538538330836884,0.5970525611183893
BMW,0.6451916936118955,0.717663029575345,0.9188578772055784,0.7241501216010033,0.18958470950608067,1.0,0.6699019396156226,0.5519961312525451,0.7388062747416064,0.11162934655800553
GM,0.822126358491802,0.4263960405473507,0.7399809380814469,0.46376149924887994,-0.20929077651098832,0.6699019396156226,1.0,0.8798159213571987,0.3167485916449004,-0.3642363975655034
Stellantis,0.8057548375575984,0.3039561158291977,0.5843706220865449,0.15575178757021518,-0.3109617268413036,0.5519961312525451,0.8798159213571987,1.0,0.07208036720945296,-0.37300097990162984
Hyundai,0.34377216776307945,0.5777418894765622,0.6736571157036846,0.745245313975142,0.24538538330836884,0.7388062747416064,0.3167485916449004,0.07208036720945296,1.0,0.2164518252614707
Nissan,-0.41796739267217115,-0.05762044644290162,0.09228460298639057,0.34944273203545345,0.5970525611183893,0.11162934655800553,-0.3642363975655034,-0.37300097990162984,0.2164518252614707,1.0
